Trddt,conBeta,disconBeta,Stkcd
2005-10-27,1.464959235956232,2.768613719866408,4
2005-10-28,1.4915805233648962,2.878357682363573,4
2005-10-31,1.477961201993477,2.8621885646994247,4
2005-11-01,1.513905956850913,2.876681774900104,4
2005-11-02,1.4945332175048651,2.8534648686924826,4
2005-11-03,1.4586103857261286,2.864185684004381,4
2005-11-04,1.4224138359180352,2.8451752407998168,4
2005-11-09,1.4287370353915392,2.8583534682436977,4
2005-11-10,1.4278584071269624,2.8591189973147952,4
2005-11-15,1.395569565236393,2.83210350944198,4
2005-11-16,1.3839264868097216,2.811936251889134,4
2005-11-17,1.3761519669649585,2.8102140196466623,4
2005-11-18,1.3706108135362218,2.706072287516044,4
2005-11-22,1.344554232420864,2.698814598129602,4
2005-11-23,1.3263867688290365,2.7115165377407715,4
2005-11-24,1.3361608722539886,2.7256541026578867,4
2005-11-25,1.3295151621796188,2.748957822980713,4
2005-11-28,1.2037504522000255,2.737570805028969,4
2005-11-30,1.2372887174101426,2.542762462191695,4
2005-12-01,1.160641940308888,2.268354749374353,4
2005-12-02,1.1122878618915315,2.239958822505764,4
2005-12-05,1.0776061314007528,2.2325125961868797,4
2005-12-06,1.0075161329462043,2.191551013198492,4
2005-12-07,0.9634047535779192,2.143271317828677,4
2005-12-08,0.9327405262398742,2.12171149039431,4
2005-12-13,0.9103032722357725,2.110627244984,4
2005-12-14,0.8938490607390718,2.106040887159136,4
2005-12-15,0.8938314954331867,2.056571245278334,4
2005-12-16,0.8995167148848818,2.089675613003533,4
2005-12-19,0.8828759555510386,2.09123427749902,4
2005-12-20,0.8666790518708859,2.088417997783975,4
2005-12-21,0.8471003832656673,2.0738173715408568,4
2005-12-22,0.7681486009868692,1.9627508023755291,4
2005-12-23,0.750600314103085,1.9601040697942864,4
2005-12-26,0.750569886144502,1.959912631001784,4
2005-12-27,0.7416679656808481,1.9574710819293208,4
2005-12-28,0.7168498807631634,1.8896769962408395,4
2005-12-29,0.6923990575484132,1.879475815031292,4
2005-12-30,0.7118602894102924,1.87706165740174,4
2005-07-12,0.6963742285314987,1.0709508657888318,6
2005-07-13,0.6831868873549264,1.0619766580280374,6
2005-07-14,0.7020002502371095,1.0648964175812416,6
2005-07-15,0.7006381753379791,1.0688896696999202,6
2005-07-18,0.7011601038858635,1.0754554153457176,6
2005-07-19,0.7320146396785314,1.0817955716230094,6
2005-07-20,0.7536686845622115,1.0851078846054734,6
2005-07-21,0.7610519453278026,1.0837069707542386,6
2005-07-22,0.7644127870119661,1.084812214789583,6
2005-07-25,0.7653665979336193,1.086619947514203,6
2005-07-26,0.7692354209662393,1.0880400124707,6
2005-07-27,0.7711717623054212,1.0891471372134622,6
2005-07-28,0.774695577376982,1.0904235253441945,6
2005-08-01,0.7768269924287919,1.090120469645475,6
2005-08-02,0.7887405141508532,1.0679995044436934,6
2005-08-03,0.7925789991383598,1.0693235578496896,6
2005-08-04,0.8124432264962292,1.0597586653479256,6
2005-08-05,0.8103091717831573,1.054454293173328,6
2005-08-08,0.811559810913464,1.0534611312008004,6
2005-08-09,0.8142690305626133,1.053100815429988,6
2005-08-10,0.8382403491364049,1.0297883169141593,6
2005-08-11,0.8608468284306877,1.02800681597947,6
2005-08-16,0.8682996350212036,1.03202620589937,6
2005-08-17,0.8830453798001239,1.0414756272237815,6
2005-08-18,0.901099530809625,1.0595296201973257,6
2005-08-19,0.9289584372327166,1.1048986618628849,6
2005-08-22,0.9382611120099432,1.1052093639222622,6
2005-08-23,0.9177921543471548,1.1015822485670062,6
2005-08-24,0.9195644241754446,1.1015341196703865,6
2005-08-25,0.9306788089432484,1.0953365683063043,6
2005-08-26,0.928551098614806,1.095091980588582,6
2005-08-29,0.92638025110623,1.0963991494675076,6
2005-08-30,0.9356396362794052,1.097030147912293,6
2005-08-31,0.9460291108115488,1.0985868478593754,6
2005-09-01,0.945870823232036,1.1099167713653433,6
2005-09-02,0.9884130748676324,1.082808630671767,6
2005-09-05,1.0002870297613415,1.095117194090686,6
2005-09-06,1.1277570111612942,1.3200087026322975,6
2005-09-07,1.1465542991648423,1.3903661321801848,6
2005-09-09,1.1515779995144313,1.4001070736316046,6
2005-09-12,1.1563299163604146,1.4217730951935983,6
2005-09-13,1.173565539073721,1.42324037326507,6
2005-09-14,1.1882805585690577,1.4170738760488044,6
2005-09-15,1.2114099066678488,1.41888297652638,6
2005-09-16,1.2306606421770765,1.42290298285088,6
2005-09-19,1.2780241021233334,1.4227316332531703,6
2005-09-20,1.2964316875975634,1.428143935958337,6
2005-09-21,1.281852989991307,1.429206430569161,6
2005-09-22,1.245118963199112,1.4284731363873422,6
2005-09-26,1.239538179002183,1.4279433902438006,6
2005-09-27,1.2325730973075764,1.4329147305921954,6
2005-09-28,1.227962181932164,1.4334013731533406,6
2005-09-29,1.2382614000672296,1.436292595618277,6
2005-10-10,1.2457114708198838,1.4364230442553816,6
2005-10-11,1.2347671201140684,1.433596203853549,6
2005-10-12,1.2502004680198435,1.4317836764920575,6
2005-10-13,1.2561055483740569,1.431935192949035,6
2005-10-14,1.2802297179312434,1.430833514477297,6
2005-10-17,1.2766081563366376,1.4325800009578689,6
2005-10-18,1.2408238994315073,1.4243214112282272,6
2005-10-19,1.2832300010821496,2.153189693473708,6
2005-10-20,1.3214350107675727,2.168769984127493,6
2005-10-21,1.2909008644606348,2.1761682158782234,6
2005-10-24,1.3007171152516694,2.153922365164252,6
2005-10-25,1.302019931702609,2.1350108707391784,6
2005-10-26,1.2571904371259388,2.140684487684167,6
2005-10-27,1.196910124232946,2.120575681267556,6
2005-10-28,1.172642295650405,2.108405211551286,6
2005-10-31,1.150583121981425,2.1573658529982067,6
2005-11-01,1.1557990419685344,2.1525946254865875,6
2005-11-02,1.138656369622689,2.137756221648364,6
2005-11-03,1.1032557068595938,2.1424923763963517,6
2005-11-04,1.075002686484328,2.1430444282106555,6
2005-11-24,1.0688908787942135,2.1525357020208014,6
2005-11-25,1.0710609691223034,2.1508121471497117,6
2005-11-28,1.0632835172868336,2.140525130187775,6
2005-11-29,1.0473543854964058,2.1326286421172065,6
2005-11-30,1.0491524504209344,2.1409845334507414,6
2005-12-01,1.0522223850030488,2.1512697620942003,6
2005-12-02,1.0580644064733025,2.1613095705304617,6
2005-07-11,1.3986273668169005,1.5695652807366476,7
2005-07-12,1.4239079542489597,1.5148773100695756,7
2005-07-13,1.431464993944187,1.5140041215351334,7
2005-07-14,1.4348689867999107,1.5119390722465504,7
2005-07-15,1.447756699145467,1.516521174341655,7
2005-07-18,1.444753377995668,1.5168354549534493,7
2005-07-19,1.4837594587679768,1.518880578428375,7
2005-07-20,1.503749790719982,1.5194655122765357,7
2005-07-21,1.5213071542261725,1.5177495629668376,7
2005-07-22,1.5192180491319576,1.508625877375103,7
2005-07-25,1.550658718317408,1.5087586756921014,7
2005-07-26,1.538339710551965,1.5102888715579537,7
2005-07-27,1.5694456334011615,1.5105490540006268,7
2005-07-28,1.6009112194620487,1.5111182263300658,7
2005-07-29,1.5849205233120376,1.497450803475053,7
2005-08-01,1.5989203748649683,1.4964350291977833,7
2005-08-02,1.6241910753650113,1.511531835384611,7
2005-08-03,1.651952982281904,1.5130097590166238,7
2005-08-04,1.6746194138161925,1.511876899935205,7
2005-08-05,1.586047920034324,1.496026790911902,7
2005-08-08,1.608650333824576,1.4854647180015088,7
2005-08-09,1.609295848705608,1.4788916035429074,7
2005-08-10,1.5958635619107366,1.4897069753910313,7
2005-08-11,1.6050101564735275,1.474067103039982,7
2005-08-16,1.599550279959935,1.471904908593786,7
2005-08-17,1.5604023339255286,1.4741548110977034,7
2005-08-18,1.678060807509837,1.5198179953474154,7
2005-08-19,1.72276526873705,1.5380161297139077,7
2005-08-22,1.7965004706962675,1.5285235673751951,7
2005-08-23,1.790832636629756,1.5314467796812734,7
2005-08-24,1.782662884734432,1.5303742031571297,7
2005-08-25,1.7837597778787329,1.536116032620134,7
2005-08-26,1.757214182675707,1.533075147346766,7
2005-08-29,1.7788410270896493,1.5325303071773857,7
2005-08-30,1.77798628734584,1.5337490745467046,7
2005-08-31,1.8209348899475672,1.533854544317369,7
2005-09-01,1.8069953208035303,1.538897385196362,7
2005-09-02,1.834980779177928,1.974542201844404,7
2005-09-05,1.8999862997567325,1.9218323356235865,7
2005-09-06,1.9091247148050212,1.9244429786598356,7
2005-09-07,1.9138236052077773,1.9499815793189108,7
2005-09-09,1.930500781707928,1.953309923610208,7
2005-09-12,1.9354038852344533,1.9508340481672504,7
2005-09-13,1.921684772124757,1.9498228234485409,7
2005-09-14,1.92238096159608,1.9502604807296384,7
2005-09-15,1.945360327145028,1.9505033116152264,7
2005-09-16,1.9654953883346804,1.9517946875312449,7
2005-09-19,1.959386510023622,1.9517058602369384,7
2005-09-20,1.9384281373715777,1.951478852658419,7
2005-09-21,1.934195590434776,1.9482147144678896,7
2005-09-22,1.9312772130509297,1.9592250983958504,7
2005-09-23,1.9230797855564945,1.953394589938572,7
2005-09-26,1.929722305280408,1.9533473803231045,7
2005-09-27,1.9484529369719423,1.956438043376981,7
2005-09-28,1.9610572621912477,1.952117290600878,7
2005-09-29,1.989007979442496,1.9323982053150437,7
2005-09-30,2.010473323183475,1.9363529793757608,7
2005-10-10,2.009101377994348,1.9343133916537825,7
2005-10-11,2.0240911520751146,1.929362981992809,7
