stkcd,date,time,open,high,low,close,volume,turnover
4,2005-02-02,10:28:00,5.95,5.95,5.95,5.95,2100.0,12485.0
4,2005-02-02,10:29:00,5.95,5.95,5.95,5.95,2700.0,16065.0
4,2005-02-02,10:30:00,5.95,5.95,5.95,5.95,400.0,2380.0
4,2005-02-02,10:31:00,5.97,5.98,5.97,5.98,5900.0,35274.0
4,2005-02-02,10:32:00,5.98,6.0,5.98,5.99,10300.0,61704.0
4,2005-02-02,10:33:00,6.0,6.0,6.0,6.0,3600.0,21600.0
4,2005-02-02,10:34:00,6.0,6.0,6.0,6.0,1100.0,6600.0
4,2005-02-02,10:35:00,6.01,6.01,6.0,6.01,6000.0,36085.0
4,2005-02-02,10:37:00,6.01,6.01,6.01,6.01,2500.0,15025.0
4,2005-02-02,10:38:00,6.01,6.01,6.01,6.01,8200.0,49282.0
4,2005-02-02,10:39:00,6.01,6.01,6.0,6.0,2800.0,16805.0
4,2005-02-02,10:40:00,6.0,6.0,5.99,5.99,2200.0,13195.0
4,2005-02-02,10:41:00,6.0,6.01,6.0,6.01,4600.0,27608.0
4,2005-02-02,10:42:00,6.0,6.0,6.0,6.0,4200.0,25205.0
4,2005-02-02,10:43:00,5.99,5.99,5.99,5.99,2600.0,15574.0
4,2005-02-02,10:44:00,5.99,5.99,5.99,5.99,1500.0,8985.0
4,2005-02-02,10:47:00,5.98,5.98,5.98,5.98,1400.0,8372.0
4,2005-02-02,10:48:00,5.99,5.99,5.99,5.99,1000.0,5990.0
4,2005-02-02,10:49:00,6.0,6.0,6.0,6.0,3600.0,21600.0
4,2005-02-02,10:50:00,6.0,6.0,6.0,6.0,900.0,5400.0
4,2005-02-02,10:52:00,6.01,6.02,6.01,6.02,2800.0,16829.0
4,2005-02-02,10:53:00,6.02,6.02,6.02,6.02,400.0,2408.0
4,2005-02-02,10:54:00,6.02,6.02,6.01,6.01,3200.0,19245.0
4,2005-02-02,10:55:00,5.99,5.99,5.99,5.99,2300.0,13777.0
4,2005-02-02,10:57:00,5.98,5.98,5.98,5.98,5300.0,31694.0
4,2005-02-02,10:58:00,5.96,5.96,5.96,5.96,1000.0,5960.0
4,2005-02-02,10:59:00,5.95,5.95,5.95,5.95,300.0,1785.0
4,2005-02-02,11:00:00,5.95,5.95,5.95,5.95,400.0,2380.0
4,2005-02-02,11:02:00,5.95,5.95,5.95,5.95,1000.0,5950.0
4,2005-02-02,11:03:00,5.95,5.95,5.95,5.95,200.0,1190.0
4,2005-02-02,11:05:00,5.96,5.96,5.96,5.96,500.0,2980.0
4,2005-02-02,11:06:00,5.96,5.96,5.96,5.96,800.0,4768.0
4,2005-02-02,11:08:00,5.95,5.95,5.95,5.95,1100.0,6545.0
4,2005-02-02,11:10:00,5.95,5.95,5.95,5.95,1500.0,8925.0
4,2005-02-02,11:11:00,5.95,5.95,5.95,5.95,150.0,892.5
4,2005-02-02,11:13:00,5.95,5.95,5.95,5.95,1100.0,6545.0
4,2005-02-02,11:14:00,5.96,5.96,5.96,5.96,2400.0,14304.0
4,2005-02-02,11:15:00,5.96,5.96,5.96,5.96,2300.0,13708.0
4,2005-02-02,11:19:00,5.96,5.96,5.96,5.96,100.0,596.0
4,2005-02-02,11:22:00,5.98,5.98,5.96,5.96,2000.0,11940.0
4,2005-02-02,11:23:00,5.98,5.98,5.98,5.98,500.0,2990.0
4,2005-02-02,11:24:00,5.98,5.98,5.98,5.98,400.0,2392.0
4,2005-02-02,11:25:00,5.98,5.98,5.98,5.98,200.0,1196.0
