Unnamed: 0,rf,mkt,smb,vmg
2005-11-23,6.1e-05,0.006869606,0.002992985,-0.000342092
2005-11-24,6.1e-05,0.00643059,-0.001714246,-0.000947533
2005-11-25,6.1e-05,0.001270634,-0.00032825,0.000809907
2005-11-28,6.1e-05,-0.003382081,0.001532079,0.0017419
2005-11-29,6.1e-05,-0.013382516,-0.003682219,0.001869957
2005-11-30,6.1e-05,0.002530812,0.001348791,0.003254741
2005-12-01,6.1e-05,-0.000882174,-0.002858173,0.002264311
2005-12-02,6.1e-05,-0.005462013,-0.01100433,0.010558004
2005-12-05,6.1e-05,-0.016923714,-0.014792164,0.009821194
2005-12-06,6.1e-05,0.008261368,-3.68e-05,0.001270059
2005-12-07,6.1e-05,0.011645799,3.36e-05,0.001739222
2005-12-08,6.1e-05,6.59e-05,-0.003210438,0.000668823
2005-12-09,6.1e-05,0.015666696,0.003685098,0.004123566
2005-12-12,6.1e-05,0.003687206,0.003487954,-0.006472252
2005-12-13,6.1e-05,0.002251862,-0.002364587,0.00196927
2005-12-14,6.1e-05,0.008431365,0.001173504,-0.003305248
2005-12-15,6.1e-05,-0.002473143,-0.006497261,0.002008583
2005-12-16,6.1e-05,0.006248198,0.002694768,-0.000828617
2005-12-19,6.1e-05,0.003214233,-0.000584608,0.001775225
2005-12-20,6.1e-05,0.004140327,-0.004303138,-0.002401705
2005-12-21,6.1e-05,-0.006729359,-0.004258018,0.004284035
2005-12-22,6.1e-05,0.004892595,0.000369029,0.004888677
2005-12-23,6.1e-05,0.010266159,0.004306041,0.003152763
2005-12-26,6.1e-05,0.011063337,-0.001462113,0.003197576
2005-12-27,6.1e-05,-0.002731377,0.000308847,-0.002058233
2005-12-28,6.1e-05,0.00299251,0.001067437,0.002361264
2005-12-29,6.1e-05,0.012676012,-0.004582839,0.006580738
2005-12-30,6.1e-05,-0.009697563,-0.004394922,0.003043845
